id,task,task_type,status,depends_on,task_dir,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,"#2 Rolling logs and sensitive-data redaction",single-full,DONE,,tasks/issue-02-logging,"Issue #2 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T19:18:00+08:00,1,"19/19 combined tests, full WPF build, and git diff --check pass"
2,"#3 Saved host profiles and Windows credentials",single-full,DONE,,tasks/issue-03-host-profiles,"Issue #3 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-14T06:43:26+08:00,0,"Completion audit closed: malformed XML and unsupported versions have stable Chinese errors; Hosts.xml and adjacent Config.xml remain byte-for-byte unchanged; full 141/141 suite passes"
3,"#4 Active-host session coordinator",single-full,DONE,,tasks/issue-04-session-coordinator,"Issue #4 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T19:10:00+08:00,0,"19/19 combined tests pass; startup remains local and selection does not activate"
4,"#5 Connection page and two-channel diagnostics",single-full,DONE,1;2;3,tasks/issue-05-connection-page,"Issue #5 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T21:08:00+08:00,0,"28/28 tests, isolated full WPF build, git diff check, UTF-8 verification, and wide/narrow pixel inspection pass"
5,"#6 Atomic host switching and write guard",single-full,DONE,4,tasks/issue-06-atomic-switch,"Issue #6 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T23:09:00+08:00,1,"38/38 tests; full isolated WPF build; wide/narrow pixel inspection; UTF-8 and diff checks pass"
6,"#7 Remote VM list and lifecycle",single-full,DONE,5,tasks/issue-07-remote-vms,"Issue #7 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T21:22:00+08:00,2,"46/46 tests; isolated WPF build 0 errors/249 warnings; XAML UTF-8 and diff checks pass; controlled host externally blocked"
7,"#8 Remote TCP 2179 console",single-full,DONE,6,tasks/issue-08-console,"Issue #8 acceptance criteria pass","dotnet test tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T21:47:00+08:00,1,"54/54 tests; WPF build 0 errors/248 warnings; UTF-8, XAML, and diff checks pass; controlled host TCP 2179 externally blocked"
8,"#9 Disconnect stale state and reconnect",single-full,DONE,6,tasks/issue-09-reconnect,"Issue #9 acceptance criteria pass","dotnet test tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T22:35:00+08:00,0,"65/65 tests; WPF build 0 errors/248 warnings; UTF-8 XAML diff and wide/narrow pixel checks pass; controlled host externally blocked"
9,"#10 Capability matrix and feature gating",single-full,DONE,6;7,tasks/issue-10-capabilities,"Issue #10 acceptance criteria pass","dotnet test tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-13T23:25:20+08:00,0,"72/72 tests, Release WPF build, UTF-8, XAML, diff, and offline real-WPF wide/narrow visual checks pass"
10,"#11 Chinese configuration preflight wizard",single-full,DONE,1;2;4,tasks/issue-11-preflight,"Issue #11 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj",2026-08-14T00:09:07+08:00,0,"85/85 tests; Release WPF build; UTF-8 XAML diff and eight offline real-WPF wide/narrow visual checks pass"
11,"#12 Confirmed configuration verification and rollback",single-full,IN_PROGRESS,10,tasks/issue-12-configuration,"Issue #12 acceptance criteria pass","dotnet run --project tests/ExHyperV.Tests/ExHyperV.Tests.csproj -c Release",,0,"178/178 deterministic tests, Release build, XAML, UTF-8, CSV, diff, and real-WPF theme/status gates pass; read-only report 20260815-1225 proves interface 26, one-VM snapshot, and exactly three planned changes with every danger switch false; live apply and separately confirmed rollback remain unexecuted"
12,"#13 End-to-end verification and release docs",single-full,IN_PROGRESS,7;8;9;11,tasks/issue-13-release,"Issue #13 acceptance criteria pass","dotnet run --project tests/ExHyperV.IntegrationTests/ExHyperV.IntegrationTests.csproj -c Release",,1,"178/178 deterministic tests and local Release gates pass; read-only report 20260815-1225 proves saved explicit credential use, both channels, preflight, atomic activation, one remote VM, console capture, configuration preview, and return to local with 0 failed stages; live VM write, TCP 2179 degradation, disconnect recovery, configuration, rollback, and optional second-host proof remain explicit opt-ins"
